brsp,gtto,lasp,sags,sath,vesp,x,y
83,0,3,0,0,105,-112.8619309,37.0000397
3,0,0,0,0,46,-111.8435129,37.8217747
42,0,0,0,0,28,-109.4037019,37.6748957
1,0,1,0,0,225,-113.1104429,41.7465447
0,0,0,0,0,26,-112.0839389,41.5821437
215,0,4,0,0,21,-111.3388129,41.7238327
394,0,3,0,0,77,-112.4592049,40.0122597
23,0,4,0,0,91,-111.0483399,40.5815707
0,0,0,0,0,426,-110.7313849,40.5509217
138,0,0,0,0,110,-109.2579279,40.8583267
1,0,1,0,0,253,-113.2671429,39.8792347
33,0,0,0,0,154,-112.2689739,39.4991847
11,0,1,0,0,113,-111.8590009,39.2398577
3,0,3,0,0,84,-110.9978409,39.2209137
0,0,24,0,0,44,-109.7414019,39.5487857
10,0,35,0,0,7,-113.6722029,38.5286637
0,0,0,0,0,7,-112.1083139,38.7780147
35,0,0,0,0,19,-111.7413629,38.9147857
8,0,0,0,0,349,-110.5667119,38.6307937
0,0,2,0,0,5,-109.3860549,38.4470777
4,0,0,0,0,9,-113.7700499,37.0690767
18,0,0,0,0,3,-112.3240509,37.4597237
11,0,2,0,0,30,-111.6624229,37.0775177
0,0,6,0,0,10,-110.7089089,37.4656037
0,0,9,0,0,7,-109.2255249,37.3927137
77,0,6,0,0,70,-111.28122,40.0466577
0,0,0,0,0,85,-111.7942819,41.6247767
363,0,16,0,0,8,-111.1566919,40.2440617
24,0,43,0,0,27,-113.1803129,41.6548957
0,0,38,0,0,1,-110.7307569,40.5507558
19,0,34,0,0,0,-109.20575,39.234033
20,0,115,0,0,1,-110.5665511,38.6304603
